scenario_name,tariff,capex_per_mw,project_year,resource_case,dscr_value,status
"Scenario B",5.55,75000000,10,"P50 (2005-2023 mean)",1.106,"Below covenant"
"Scenario B - Grid",5.00,65000000,10,"Trough avg (2015-2021)",1.106,"Below covenant"
"Scenario B",5.55,75000000,5,"Trough avg (2015-2021)",1.111,"Below covenant"
"Scenario B - Grid",6.00,80000000,10,"Trough avg (2015-2021)",1.112,"Below covenant"
"Scenario B - Grid",5.70,75000000,10,"Trough avg (2015-2021)",1.118,"Below covenant"
"Scenario B - Grid",5.40,70000000,10,"Trough avg (2015-2021)",1.125,"Below covenant"
"Scenario A - Grid",7.10,85000000,10,"Trough avg (2015-2021)",1.127,"Below covenant"
"Scenario A",7.30,85000000,10,"Worst year (2020-2021 avg)",1.130,"Below covenant"
"Scenario A - Grid",7.50,90000000,10,"Trough avg (2015-2021)",1.132,"Below covenant"
"Scenario B - Grid",5.10,65000000,10,"Trough avg (2015-2021)",1.132,"Below covenant"
"Scenario B",5.55,75000000,1,"Trough avg (2015-2021)",1.134,"Below covenant"
"Scenario B",5.55,75000000,5,"P50 (2005-2023 mean)",1.134,"Below covenant"
"Scenario B",5.94,75000000,10,"Worst year (2020-2021 avg)",1.140,"Below covenant"
"Scenario B - Grid",5.80,75000000,10,"Trough avg (2015-2021)",1.141,"Below covenant"
"Scenario B - Grid",5.50,70000000,10,"Trough avg (2015-2021)",1.149,"Below covenant"
"Scenario A - Grid",6.50,75000000,10,"Trough avg (2015-2021)",1.156,"Below covenant"
"Scenario B",5.55,75000000,1,"P50 (2005-2023 mean)",1.157,"Below covenant"
"Scenario A",7.30,85000000,5,"Worst year (2020-2021 avg)",1.159,"Below covenant"
"Scenario A - Grid",6.90,80000000,10,"Trough avg (2015-2021)",1.159,"Below covenant"
"Scenario B - Grid",5.20,65000000,10,"Trough avg (2015-2021)",1.159,"Below covenant"
"Scenario A",7.30,85000000,10,"Trough avg (2015-2021)",1.163,"Below covenant"
"Scenario A - Grid",7.30,85000000,10,"Trough avg (2015-2021)",1.163,"Below covenant"
"Scenario B - Grid",5.90,75000000,10,"Trough avg (2015-2021)",1.164,"Below covenant"
"Scenario B",5.94,75000000,5,"Worst year (2020-2021 avg)",1.169,"Below covenant"
"Scenario B",5.94,75000000,10,"Trough avg (2015-2021)",1.173,"Below covenant"
"Scenario B - Grid",5.60,70000000,10,"Trough avg (2015-2021)",1.174,"Below covenant"
"Scenario A",7.30,85000000,1,"Worst year (2020-2021 avg)",1.182,"Below covenant"
"Scenario B - Grid",5.30,65000000,10,"Trough avg (2015-2021)",1.185,"Below covenant"
"Scenario A",7.30,85000000,10,"P50 (2005-2023 mean)",1.186,"Below covenant"
"Scenario B - Grid",6.00,75000000,10,"Trough avg (2015-2021)",1.187,"Below covenant"
"Scenario A",7.30,85000000,5,"Trough avg (2015-2021)",1.192,"Below covenant"
"Scenario B",5.94,75000000,1,"Worst year (2020-2021 avg)",1.193,"Below covenant"
"Scenario B",5.94,75000000,10,"P50 (2005-2023 mean)",1.197,"Below covenant"
"Scenario A - Grid",7.10,80000000,10,"Trough avg (2015-2021)",1.197,"Below covenant"
"Scenario A - Grid",7.50,85000000,10,"Trough avg (2015-2021)",1.198,"Below covenant"
"Scenario B - Grid",5.00,60000000,10,"Trough avg (2015-2021)",1.198,"Below covenant"
"Scenario B - Grid",5.70,70000000,10,"Trough avg (2015-2021)",1.198,"Below covenant"
