scenario_name,capex_per_mw,tariff,debt_ratio,interest_rate,loan_term_years,project_year,resource_case,ghi_value,dscr_value,status
Scenario A - Grid,95000000,6.5,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,0.912,DEFAULT RISK
Scenario A - Grid,75000000,6.9,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.237,OK
Scenario A - Grid,80000000,6.9,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.159,Below covenant
Scenario A - Grid,85000000,6.9,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.091,Below covenant
Scenario A - Grid,90000000,6.9,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.031,Below covenant
Scenario A - Grid,95000000,6.9,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,0.976,DEFAULT RISK
Scenario A - Grid,75000000,7.1,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.277,OK
Scenario A - Grid,80000000,7.1,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.197,Below covenant
Scenario A - Grid,85000000,7.1,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.127,Below covenant
Scenario A - Grid,90000000,7.1,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.064,Below covenant
Scenario A - Grid,95000000,7.1,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.008,Below covenant
Scenario A - Grid,75000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.318,OK
Scenario A - Grid,80000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.235,OK
Scenario A - Grid,85000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.163,Below covenant
Scenario A - Grid,90000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.098,Below covenant
Scenario A - Grid,95000000,7.3,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.04,Below covenant
Scenario A - Grid,75000000,7.5,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.358,OK
Scenario A - Grid,80000000,7.5,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.273,OK
Scenario A - Grid,85000000,7.5,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.198,Below covenant
Scenario A - Grid,90000000,7.5,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.132,Below covenant
Scenario A - Grid,95000000,7.5,0.75,0.09,12,10,Trough avg (2015-2021),1625.3,1.072,Below covenant
Scenario B - Grid,60000000,5.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.198,Below covenant
Scenario B - Grid,65000000,5.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.106,Below covenant
Scenario B - Grid,70000000,5.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.027,Below covenant
Scenario B - Grid,75000000,5.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.958,DEFAULT RISK
Scenario B - Grid,80000000,5.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.899,DEFAULT RISK
Scenario B - Grid,85000000,5.0,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.846,DEFAULT RISK
Scenario B - Grid,60000000,5.1,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.227,OK
Scenario B - Grid,65000000,5.1,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.132,Below covenant
Scenario B - Grid,70000000,5.1,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.051,Below covenant
Scenario B - Grid,75000000,5.1,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.981,DEFAULT RISK
Scenario B - Grid,80000000,5.1,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.92,DEFAULT RISK
Scenario B - Grid,85000000,5.1,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.866,DEFAULT RISK
Scenario B - Grid,60000000,5.2,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.255,OK
Scenario B - Grid,65000000,5.2,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.159,Below covenant
Scenario B - Grid,70000000,5.2,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.076,Below covenant
Scenario B - Grid,75000000,5.2,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.004,Below covenant
Scenario B - Grid,80000000,5.2,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.941,DEFAULT RISK
Scenario B - Grid,85000000,5.2,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.886,DEFAULT RISK
Scenario B - Grid,60000000,5.3,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.284,OK
Scenario B - Grid,65000000,5.3,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.185,Below covenant
Scenario B - Grid,70000000,5.3,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.1,Below covenant
Scenario B - Grid,75000000,5.3,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.027,Below covenant
Scenario B - Grid,80000000,5.3,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.963,DEFAULT RISK
Scenario B - Grid,85000000,5.3,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.906,DEFAULT RISK
Scenario B - Grid,60000000,5.4,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.312,OK
Scenario B - Grid,65000000,5.4,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.211,OK
Scenario B - Grid,70000000,5.4,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.125,Below covenant
Scenario B - Grid,75000000,5.4,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.05,Below covenant
Scenario B - Grid,80000000,5.4,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.984,DEFAULT RISK
Scenario B - Grid,85000000,5.4,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.926,DEFAULT RISK
Scenario B - Grid,60000000,5.5,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.341,OK
Scenario B - Grid,65000000,5.5,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.238,OK
Scenario B - Grid,70000000,5.5,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.149,Below covenant
Scenario B - Grid,75000000,5.5,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.073,Below covenant
Scenario B - Grid,80000000,5.5,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.006,Below covenant
Scenario B - Grid,85000000,5.5,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.946,DEFAULT RISK
Scenario B - Grid,60000000,5.6,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.369,OK
Scenario B - Grid,65000000,5.6,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.264,OK
Scenario B - Grid,70000000,5.6,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.174,Below covenant
Scenario B - Grid,75000000,5.6,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.095,Below covenant
Scenario B - Grid,80000000,5.6,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.027,Below covenant
Scenario B - Grid,85000000,5.6,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,0.967,DEFAULT RISK
Scenario B - Grid,60000000,5.7,0.75,0.09,15,10,Trough avg (2015-2021),1625.3,1.398,OK
